datetime,time,cpu temperature,humidity,pressure,temperature (humidity),temperature (pressure),orientation radians pitch,orientation radians yaw,orientation radians roll,orientation degrees pitch,orientation degrees yaw,orientation degrees roll,compass raw x,compass raw y,compass raw z,gyroscope raw x,gyroscope raw y,gyroscope raw z,accelerometer raw x,accelerometer raw y,accelerometer raw z,joystick up,joystick down,joystick right,joystick left,joystick button
2016-03-28 12:35:49.162356,1459168549.16239,49.23,32.175880432128906,994.080810546875,33.89413070678711,33.57500076293945,-0.009550942108035088,3.0828466415405273,0.02036255970597267,359.45680754174845,176.59682227386247,1.185304091653137,-20.60102081298828,-1.3772196769714355,13.520922660827637,0.0029269903898239136,-0.008942998945713043,0.01653200574219227,0.001939567388035357,0.025978805497288704,0.9818546175956726,0,0,0,0,0
2016-03-28 12:35:50.167796,1459168550.167832,49.23,32.47142028808594,994.103759765625,33.95152282714844,33.61249923706055,-0.007994084618985653,3.072252035140991,0.025945477187633514,359.54747856978463,176.01785445867716,1.4885707873823442,-27.977338790893555,-1.8266544342041016,19.320201873779297,0.002087108790874481,-0.002767324447631836,0.006274187006056309,0.002424459205940366,0.025978805497288704,0.9933083653450012,0,0,0,0,0
2016-03-28 12:35:51.164297,1459168551.164333,49.23,32.8399772644043,994.111572265625,33.81760787963867,33.608333587646484,-0.005430786870419979,3.0657777786254883,0.026970386505126953,359.69558060312664,175.6552123948845,1.5413120140493017,-28.339954376220703,-1.5972638130187988,19.023008346557617,0.003135189414024353,-0.0017413720488548279,0.0041844602674245834,0.002424459205940366,0.025250427424907684,0.9962327480316162,0,0,0,0,0
2016-03-28 12:35:52.172555,1459168552.172629,48.692,32.54791259765625,994.131591796875,33.89413070678711,33.602081298828125,-0.0034829401411116123,3.0660595893859863,0.027035342529416084,359.8022876880344,175.67041639597696,1.5477603529560284,-27.7887020111084,-1.6689530611038208,19.00383186340332,0.001651763916015625,-0.0025210678577423096,0.0007678230758756399,0.00048489184700883925,0.025736013427376747,0.9991570711135864,0,0,0,0,0
2016-03-28 12:35:53.174820,1459168553.17489,48.154,32.53748321533203,994.096923828125,33.85586929321289,33.59791564941406,-0.0025897682644426823,3.063305616378784,0.026925228536128998,359.8537307118516,175.51952385683302,1.539721006859512,-27.911056518554688,-1.7001913785934448,18.91207504272461,-0.0023880451917648315,4.924088716506958e-05,0.0025134067982435226,0.0041215806268155575,0.025978805497288704,0.9991570711135864,0,0,0,0,0
2016-03-28 12:35:54.210768,1459168554.210845,48.154,32.52009582519531,994.07177734375,33.760215759277344,33.59791564941406,-0.003049264894798398,3.063119649887085,0.02618781290948391,359.82679181877506,175.49971630823998,1.502091360287796,-27.948497772216797,-1.6943039894104004,18.910717010498047,-0.0005887746810913086,0.0018317252397537231,0.0033439560793340206,0.001939567388035357,0.025007635354995728,0.999400794506073,0,0,0,0,0
2016-03-28 12:35:55.174396,1459168555.174451,48.154,26.950050354003906,994.0966796875,33.81760787963867,33.602081298828125,-0.0023919204249978065,3.0625698566436768,0.026273159310221672,359.86568538384853,175.4654560793632,1.5007028041738737,-28.23000144958496,-1.6487046480178833,19.17279052734375,0.0026543661952018738,-0.0015566125512123108,-0.0005511260824277997,0.0009697836940176785,0.02622159756720066,0.9996444582939148,0,0,0,0,0
2016-03-28 12:35:56.178402,1459168556.178463,48.154,34.401119232177734,994.117919921875,33.79847717285156,33.62083435058594,-0.0019020783947780728,3.062772035598755,0.026057759299874306,359.8891776927668,175.45836634300474,1.4959423757657864,-27.84929656982422,-2.1320817470550537,18.3734130859375,0.00028643757104873657,-0.0014150217175483704,-0.004339913371950388,0.002424459205940366,0.025736013427376747,1.0001319646835327,0,0,0,0,0
2016-03-28 12:35:57.175966,1459168557.176027,47.615,32.0541877746582,994.134521484375,33.875,33.61458206176758,-0.002484890865162015,3.0526113510131836,0.025958336889743805,359.85984563880925,174.9075798883349,1.4853298626211733,-27.791847229003906,-1.8545427322387695,18.37574005126953,-0.0008779764175415039,-0.0007115304470062256,-0.0006317480001598597,0.002424459205940366,0.031077450141310692,0.9998881816864014,0,0,0,0,0
2016-03-28 12:35:58.169944,1459168558.170007,47.615,32.42274475097656,994.1259765625,33.79847717285156,33.618751525878906,-0.0019265500595793128,3.04950213432312,0.025704309344291687,359.8894465647643,174.7093541382428,1.4774019339854925,-28.0357723236084,-2.301191568374634,18.560441970825195,0.0024491623044013977,0.0013063177466392517,-0.0014455539640039206,0.00315179699100554,0.021122954785823822,0.9989133477210999,0,0,0,0,0
2016-03-28 12:35:59.167079,1459168559.167115,48.692,32.73566818237305,994.10888671875,33.91326141357422,33.62291717529297,-0.0017709523672237992,3.0420432090759277,0.025941547006368637,359.8976696722979,174.2510074637999,1.4896117509005364,-27.773195266723633,-2.8838489055633545,19.053321838378906,-0.00022135674953460693,-0.0012021511793136597,-0.0027739331126213074,0.00024244592350441962,0.02549321949481964,0.9991570711135864,0,0,0,0,0
2016-03-28 12:36:00.169208,1459168560.169242,48.692,31.696063995361328,994.089599609375,33.89413070678711,33.62083435058594,0.0006163478246890008,3.0349020957946777,0.02571665681898594,0.025158234745481664,173.90780411838512,1.4680596225830902,-27.995981216430664,-2.456970691680908,19.12508773803711,2.212822437286377e-05,0.0021861717104911804,-0.00015820772387087345,0.001939567388035357,0.027921147644519806,1.0006192922592163,0,0,0,0,0
